"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","INCOMEINEQ","GINI","INEQ","A","2018",0.325,
"AUS","INCOMEINEQ","GINI","INEQ","A","2020",0.318,
"AUT","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"AUT","INCOMEINEQ","GINI","INEQ","A","2019",0.274,
"BEL","INCOMEINEQ","GINI","INEQ","A","2018",0.258,
"BEL","INCOMEINEQ","GINI","INEQ","A","2019",0.262,
"CAN","INCOMEINEQ","GINI","INEQ","A","2018",0.304,
"CAN","INCOMEINEQ","GINI","INEQ","A","2019",0.3,
"CAN","INCOMEINEQ","GINI","INEQ","A","2020",0.28,
"CZE","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"CZE","INCOMEINEQ","GINI","INEQ","A","2019",0.248,
"DNK","INCOMEINEQ","GINI","INEQ","A","2018",0.263,
"DNK","INCOMEINEQ","GINI","INEQ","A","2019",0.268,
"FIN","INCOMEINEQ","GINI","INEQ","A","2018",0.269,
"FIN","INCOMEINEQ","GINI","INEQ","A","2019",0.273,
"FIN","INCOMEINEQ","GINI","INEQ","A","2020",0.265,
"FRA","INCOMEINEQ","GINI","INEQ","A","2018",0.301,
"FRA","INCOMEINEQ","GINI","INEQ","A","2019",0.292,
"DEU","INCOMEINEQ","GINI","INEQ","A","2018",0.289,
"DEU","INCOMEINEQ","GINI","INEQ","A","2019",0.296,
"GRC","INCOMEINEQ","GINI","INEQ","A","2018",0.306,
"GRC","INCOMEINEQ","GINI","INEQ","A","2019",0.308,
"HUN","INCOMEINEQ","GINI","INEQ","A","2018",0.28,
"HUN","INCOMEINEQ","GINI","INEQ","A","2019",0.286,
"IRL","INCOMEINEQ","GINI","INEQ","A","2018",0.292,
"ITA","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"JPN","INCOMEINEQ","GINI","INEQ","A","2018",0.334,
"KOR","INCOMEINEQ","GINI","INEQ","A","2018",0.345,
"KOR","INCOMEINEQ","GINI","INEQ","A","2019",0.339,
"KOR","INCOMEINEQ","GINI","INEQ","A","2020",0.331,
"LUX","INCOMEINEQ","GINI","INEQ","A","2018",0.318,
"LUX","INCOMEINEQ","GINI","INEQ","A","2019",0.305,
"MEX","INCOMEINEQ","GINI","INEQ","A","2018",0.418,
"MEX","INCOMEINEQ","GINI","INEQ","A","2020",0.42,
"NLD","INCOMEINEQ","GINI","INEQ","A","2018",0.295,
"NLD","INCOMEINEQ","GINI","INEQ","A","2019",0.312,
"NLD","INCOMEINEQ","GINI","INEQ","A","2020",0.304,"P"
"NZL","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"NZL","INCOMEINEQ","GINI","INEQ","A","2019",0.326,
"NZL","INCOMEINEQ","GINI","INEQ","A","2020",0.32,
"NOR","INCOMEINEQ","GINI","INEQ","A","2018",0.262,
"NOR","INCOMEINEQ","GINI","INEQ","A","2019",0.261,
"NOR","INCOMEINEQ","GINI","INEQ","A","2020",0.263,
"POL","INCOMEINEQ","GINI","INEQ","A","2018",0.281,
"PRT","INCOMEINEQ","GINI","INEQ","A","2018",0.317,
"PRT","INCOMEINEQ","GINI","INEQ","A","2019",0.31,
"SVK","INCOMEINEQ","GINI","INEQ","A","2018",0.236,
"SVK","INCOMEINEQ","GINI","INEQ","A","2019",0.222,"P"
"ESP","INCOMEINEQ","GINI","INEQ","A","2018",0.33,
"ESP","INCOMEINEQ","GINI","INEQ","A","2019",0.32,
"SWE","INCOMEINEQ","GINI","INEQ","A","2018",0.273,
"SWE","INCOMEINEQ","GINI","INEQ","A","2019",0.277,
"SWE","INCOMEINEQ","GINI","INEQ","A","2020",0.276,
"CHE","INCOMEINEQ","GINI","INEQ","A","2018",0.311,
"CHE","INCOMEINEQ","GINI","INEQ","A","2019",0.316,
"TUR","INCOMEINEQ","GINI","INEQ","A","2018",0.397,
"TUR","INCOMEINEQ","GINI","INEQ","A","2019",0.415,
"GBR","INCOMEINEQ","GINI","INEQ","A","2018",0.366,
"GBR","INCOMEINEQ","GINI","INEQ","A","2019",0.366,
"GBR","INCOMEINEQ","GINI","INEQ","A","2020",0.355,
"USA","INCOMEINEQ","GINI","INEQ","A","2018",0.393,
"USA","INCOMEINEQ","GINI","INEQ","A","2019",0.395,
"USA","INCOMEINEQ","GINI","INEQ","A","2020",0.378,"P"
"USA","INCOMEINEQ","GINI","INEQ","A","2021",0.375,"P"
"EST","INCOMEINEQ","GINI","INEQ","A","2018",0.305,
"EST","INCOMEINEQ","GINI","INEQ","A","2019",0.305,
"ISR","INCOMEINEQ","GINI","INEQ","A","2018",0.348,
"ISR","INCOMEINEQ","GINI","INEQ","A","2019",0.342,
"SVN","INCOMEINEQ","GINI","INEQ","A","2018",0.249,
"SVN","INCOMEINEQ","GINI","INEQ","A","2019",0.246,
"LVA","INCOMEINEQ","GINI","INEQ","A","2018",0.351,
"LVA","INCOMEINEQ","GINI","INEQ","A","2019",0.344,"P"
"LVA","INCOMEINEQ","GINI","INEQ","A","2020",0.355,"P"
"LTU","INCOMEINEQ","GINI","INEQ","A","2018",0.361,
"LTU","INCOMEINEQ","GINI","INEQ","A","2019",0.357,
"CRI","INCOMEINEQ","GINI","INEQ","A","2018",0.479,
"CRI","INCOMEINEQ","GINI","INEQ","A","2019",0.478,
"CRI","INCOMEINEQ","GINI","INEQ","A","2020",0.497,
"CRI","INCOMEINEQ","GINI","INEQ","A","2021",0.487,
"BGR","INCOMEINEQ","GINI","INEQ","A","2018",0.408,
"BGR","INCOMEINEQ","GINI","INEQ","A","2019",0.402,
"ROU","INCOMEINEQ","GINI","INEQ","A","2018",0.35,
"ROU","INCOMEINEQ","GINI","INEQ","A","2019",0.339,
